;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
115;Peking Perle;Peking Perle;饭店;否;Falkenseer Damm 17, 13585 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
116;Pong's China Restaurant;Pong's China Restaurant;饭店;否;Jörsstr. 14, 13505 Berlin;Tegel;;;;;;;;;;;;;;;;;;;
117;全家福/Lucky Star;Lucky Star;饭店;否;Friedrichstraße 127, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
118;Regent;Regent;饭店;否;Imchenallee 44, 14089 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
119;Rong’s Noodlehouse;Rong’s Noodlehouse;面馆;否;Leibnizstraße 101, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
120;Royal Gourmet;Royal Gourmet;饭店;否;Mohriner Allee 50, 12347 Berlin;Britz;;;;;;;;;;;;;;;;;;;
121;如意轩火锅/Ruyixuan Hotpot;Ruyixuan Hotpot;火锅;否;Plaza, Frankfurter Allee 73C, 10247 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
122;三顾冒菜/Sanku Maots'ai (Fhain);Sanku Maots'ai (Fhain);麻辣烫/冒菜;是;Warschauer Str. 81a, 10241 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
123;三顾冒菜/Sanku Maots'ai (Mitte);Sanku Maots'ai (Mitte);麻辣烫/冒菜;是;Friedrichstraße 121, 10117 Berlin;Mitte;;单人冒菜｜自选称重｜麻辣上头;;;;;;;;;;;;;;;;;
124;傻妞面馆/Shaniu‘s House of Noodles (Fhain);Shaniu‘s House of Noodles (Fhain);面馆;是;Niederbarnimstraße 12, 10247 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
125;傻妞面馆/Shaniu‘s House of Noodles (Tiergarten);Shaniu‘s House of Noodles (Tiergarten);面馆;是;Kurfürstenstraße 79, 10787 Berlin;Tiergarten;;手工面条｜川味小馆｜午餐很稳;;;;;;;;;;;;;;;;;
126;傻妞面馆/Shaniu‘s House of Noodles (Wilmersdorf);Shaniu‘s House of Noodles (Wilmersdorf);面馆;是;Pariser Str. 58, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
127;姗姗小屋/Shanshan;Shanshan;饭店;否;Gleimstraße 24, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
128;山西面馆/Shanxi Nudelhaus;Shanxi Nudelhaus;面馆;否;Samariterstraße 28, 10247 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
129;上海饭店/Shanghai;Shanghai;饭店;否;Frankfurter Allee 90, 10247 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
130;蜀味坊/Shu Wei Fang - Szechuan House;Shu Wei Fang - Szechuan House;饭店;否;Paul-Lincke-Ufer 45, 10999 Berlin;Kreuzberg;;TBD;;;;;;;;;;;;;;;;;
131;四川饭店/Sichuan;Sichuan;饭店;否;Albrechtstr. 92, 12167 Berlin;Steglitz;;;;;;;;;;;;;;;;;;;
132;素素/Susu Vegan Food;Susu Vegan Food;素食;否;Eberswalder Str. 29, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
133;随园·听松/Ting Song Hotpot;Ting Song Hotpot;火锅;否;Eisenzahnstraße 14, 10709 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
134;太和饭殿/Peking Ente;Peking Ente;饭店;否;Voßstraße 1, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
135;太子/Prince;Prince;饭店;否;Kommandantenstraße 75, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
136;唐记/Tangs Kantine;Tangs Kantine;饭店;否;Dieffenbachstraße 18, 10967 Berlin;Kreuzberg;; ;;;;;;;;;;;;;;;;;
137;桃园面馆/Tao Yuan Noodlehouse;Tao Yuan Noodlehouse;面馆;否;Wilmersdorfer Str. 26, 10585 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
138;The Butterfly Lovers;The Butterfly Lovers;素食;否;Veteranenstraße 10, 10119 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
139;The Noodle Town (Mitte);The Noodle Town (Mitte);面馆;是;Große Hamburger Str. 24, 10115 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
140;The Noodle Town (Xberg);The Noodle Town (Xberg);面馆;是;Bergmannstraße 5, 10965 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
141;The Tree Noodle House;The Tree Noodle House;面馆;否;Brunnenstraße 167, 10119 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
142;天府酒家/Tianfu;Tianfu;饭店;否;Uhlandstraße 142, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
143;天府子/Tianfuzius;Tianfuzius;素食;否;Regensburger Str. 1, 10777 Berlin;Schöneberg;;;;;;;;;;;;;;;;;;;
144;Toca Rouge;Toca Rouge;小吃;否;Torstraße 195, 10115 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
145;土龙/Tu Long;Tu Long;小吃;否;Otto-Suhr-Allee 25, 10585 Berlin;Charlottenburg;;平价老店｜家常快炒｜学生友好;;;;;;;;;;;;;;;;;
146;UUU;UUU;饭店;否;Sprengelstraße 15, 13353 Berlin;Wedding;;现代中餐｜分享套餐｜茶饮配对;;;;;;;;;;;;;;;;;
147;万花酒楼/Man-Far;Man-Far;饭店;否;Brunsbütteler Damm 260, 13581 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
148;王家一号/Feast;Feast;饭店;否;Meierottostraße 1, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
149;旺角花园/Hongkong Canteen;Hongkong Canteen;饭店;否;Leonorenstraße 60, 12247 Berlin;Lankwitz;;;;;;;;;;;;;;;;;;;
150;味道佳/Wei Dao Jia;Wei Dao Jia;饭店;否;Oderberger Str. 27, 10435 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
151;威玲/Wiling;Wiling;饭店;否;Bundespl. 12, 10715 Berlin;Wilmersdorf;;TBD;;;;;;;;;;;;;;;;;
152;Wen Cheng (Charlottenburg);Wen Cheng (Charlottenburg);面馆;是;Joachimsthaler Str. 10, 10719 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
153;Wen Cheng (Fhain);Wen Cheng (Fhain);面馆;是;Simon-Dach-Straße 22, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
154;Wen Cheng (PBerg 1);Wen Cheng (PBerg 1);面馆;是;Schönhauser Allee 65, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
155;Wen Cheng (Pberg 2);Wen Cheng (Pberg 2);面馆;是;Schönhauser Allee 10, 10119 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
156;Wen Cheng (Xberg);Wen Cheng (Xberg);面馆;是;Spreewaldpl. 5, 10999 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
157;文厨房/Wen’s Küche;Wen’s Küche;小吃;否;Mariendorfer Damm 175, 12107 Berlin;Mariendorf;;;;;;;;;;;;;;;;;;;
158;文记/Mankee;Mankee;饭店;否;Grunewaldstraße 60, 10825 Berlin;Schöneberg;;;;;;;;;;;;;;;;;;;
159;五湖四海/All seasons;All seasons;饭店;否;Am Juliusturm 53, 13599 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
160;五月花/Mayflower;Mayflower;饭店;否;Greifenhagener Str. 27, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
161;喜临门/Hee Lam Mun;Hee Lam Mun;饭店;否;Grunewaldstraße 23, 12165 Berlin;Steglitz;;;;;;;;;;;;;;;;;;;
162;喜面/Xi Mian Hand-Pulled Noodles (Mitte);Xi Mian Hand-Pulled Noodles (Mitte);面馆;是;Invalidenstraße 159, 10115 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
163;喜面/Xi Mian Hand-Pulled Noodles (Pberg);Xi Mian Hand-Pulled Noodles (Pberg);面馆;是;Danziger Str. 10, 10435 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
164;想见面/Noodle Point;Noodle Point;面馆;否;Uhlandstraße 142, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
165;小龙坎/ShooLoongKan Hotpot;ShooLoongKan Hotpot;火锅;否;Meinekestraße 22, 10719 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
166;新华/Sun Wah;Sun Wah;饭店;否;Alt-Tegel 4, 13507 Berlin;Tegel;;;;;;;;;;;;;;;;;;;
167;新会城/Xin Hui City;Xin Hui City;小吃;否;Alt-Moabit 86B, 10555 Berlin;Moabit;;;;;;;;;;;;;;;;;;;
